"Model name","EENum count","EClass count","EDataType count","EMFCompare matchCount","Diagnostic count"
"prefixed_IRI_predicate.ttl","0","15","3","10","0"
"turtle-syntax-pname-esc-02.ttl","0","17","3","10","0"
"turtle-syntax-prefix-01.ttl","0","4","2","3","0"
"turtle-syntax-bad-kw-04.ttl","0","15","3","9","1"
"turtle-syntax-bad-pname-01.ttl","0","18","4","11","1"
"literal_with_CHARACTER_TABULATION.ttl","0","13","1","8","1"
"objectList_with_two_objects.ttl","0","15","1","10","0"
"turtle-syntax-bad-kw-05.ttl","0","14","4","9","0"
"turtle-syntax-bad-ns-dot-end.ttl","0","4","2","3","0"
"turtle-syntax-pname-esc-03.ttl","0","20","4","12","0"
"LITERAL_LONG1_with_UTF8_boundaries.ttl","0","13","1","8","1"
"LITERAL2_with_UTF8_boundaries.ttl","0","14","3","9","0"
"turtle-syntax-bnode-07.ttl","0","26","4","15","0"
"langtagged_LONG_with_subtag.ttl","0","16","5","10","0"
"grddl.ttl","0","401","120","278","9"
"turtle-syntax-string-08.ttl","0","14","3","9","0"
"turtle-syntax-bad-n3-extras-07.ttl","0","4","0","2","0"
"turtle-syntax-bad-n3-extras-13.ttl","0","4","0","2","0"
"turtle-syntax-bad-struct-15.ttl","0","12","2","8","0"
"turtle-syntax-bad-struct-01.ttl","0","4","0","2","0"
"bareword_decimal.ttl","0","13","2","9","0"
"comment_following_localName.ttl","0","15","3","10","0"
"turtle-syntax-number-06.ttl","0","13","2","9","0"
"turtle-subm-15.ttl","0","16","5","10","0"
"turtle-subm-01.ttl","0","17","2","10","0"
"turtle-subm-14.ttl","0","25","3","15","0"
"aiiso.ttl","0","1395","330","917","0"
"turtle-syntax-number-07.ttl","0","13","2","9","0"
"LITERAL_LONG2_with_REVERSE_SOLIDUS.ttl","0","16","5","10","0"
"turtle-syntax-bad-struct-14.ttl","0","4","0","2","0"
"turtle-syntax-uri-01.ttl","0","14","1","9","0"
"turtle-syntax-bad-n3-extras-12.ttl","0","11","3","7","0"
"turtle-syntax-bad-n3-extras-06.ttl","0","17","5","11","0"
"turtle-syntax-string-09.ttl","0","13","1","8","1"
"turtle-syntax-bad-esc-04.ttl","0","14","3","9","0"
"turtle-syntax-bad-n3-extras-10.ttl","0","11","3","7","0"
"turtle-syntax-bad-n3-extras-04.ttl","0","20","6","13","0"
"turtle-syntax-uri-03.ttl","0","14","1","9","0"
"vcard.ttl","0","4413","734","2732","1"
"turtle-syntax-bad-prefix-05.ttl","0","4","2","3","0"
"turtle-syntax-bad-struct-02.ttl","0","12","2","8","0"
"annotation.ttl","0","220","56","146","1"
"turtle-syntax-bad-struct-16.ttl","0","16","1","10","1"
"turtle-syntax-number-05.ttl","0","13","1","8","1"
"turtle-syntax-number-11.ttl","0","13","2","9","0"
"turtle-subm-02.ttl","0","37","11","26","0"
"turtle-subm-16.ttl","0","24","8","15","0"
"labeled_blank_node_with_non_leading_extras.ttl","0","15","1","9","0"
"turtle-subm-17.ttl","0","15","4","10","0"
"literal_true.ttl","0","13","2","9","0"
"turtle-subm-03.ttl","0","21","3","12","0"
"turtle-syntax-number-10.ttl","0","13","2","9","0"
"turtle-syntax-number-04.ttl","0","13","2","9","0"
"turtle-syntax-bad-struct-17.ttl","0","15","1","9","0"
"turtle-syntax-bad-struct-03.ttl","0","16","2","11","0"
"blankNodePropertyList_as_object.ttl","0","18","1","12","0"
"turtle-syntax-bad-prefix-04.ttl","0","4","2","3","0"
"turtle-syntax-uri-02.ttl","0","14","1","9","0"
"turtle-syntax-bad-n3-extras-05.ttl","0","17","3","10","0"
"turtle-syntax-bad-n3-extras-11.ttl","0","11","3","7","0"
"ont.ttl","0","240","50","156","0"
"prefix_with_PN_CHARS_BASE_character_boundaries.ttl","0","24","5","16","2"
"prefix_only_IRI.ttl","0","15","3","10","0"
"literal_with_numeric_escape8.ttl","0","13","1","8","1"
"turtle-syntax-bad-esc-01.ttl","0","14","3","9","0"
"turtle-syntax-bad-n3-extras-01.ttl","0","24","4","14","1"
"sole_blankNodePropertyList.ttl","0","15","0","9","0"
"olo.ttl","0","502","98","306","0"
"blankNodePropertyList_containing_collection.ttl","0","4","0","2","0"
"numeric_with_leading_0.ttl","0","13","2","9","0"
"turtle-syntax-bad-struct-07.ttl","0","15","1","9","0"
"pnt.ttl","0","273","69","175","0"
"turtle-syntax-bad-struct-13.ttl","0","13","1","8","1"
"literal_with_escaped_FORM_FEED.ttl","0","13","1","8","1"
"IRI_with_all_punctuation.ttl","0","14","1","9","0"
"turtle-subm-07.ttl","0","15","3","10","0"
"turtle-subm-13.ttl","0","40","18","27","0"
"turtle-subm-12.ttl","0","40","20","28","0"
"turtle-subm-06.ttl","0","37","3","21","0"
"r2rml.ttl","0","1393","175","844","0"
"turtle-syntax-bad-ln-dash-start.ttl","0","17","3","10","0"
"prefixed_name_datatype.ttl","0","16","5","11","0"
"turtle-syntax-number-01.ttl","0","13","2","9","0"
"turtle-syntax-bad-struct-12.ttl","0","13","1","8","1"
"turtle-syntax-bad-struct-06.ttl","0","16","1","10","1"
"turtle-syntax-bad-prefix-01.ttl","0","15","3","9","0"
"langtagged_non_LONG.ttl","0","14","3","9","0"
"prov.ttl","0","8529","1672","5045","9"
"last.ttl","0","15","3","12","0"
"turtle-syntax-bad-esc-02.ttl","0","14","3","9","0"
"turtle-syntax-bad-n3-extras-02.ttl","0","14","4","9","0"
"turtle-syntax-bad-number-dot-in-anon.ttl","0","20","4","13","0"
"odrl.ttl","0","5964","1149","3585","0"
"umbel.ttl","0","34","22","28","0"
"moat.ttl","0","486","87","326","0"
"turtle-syntax-bad-prefix-03.ttl","0","4","2","3","1"
"void.ttl","0","897","169","537","0"
"turtle-syntax-bad-struct-10.ttl","0","20","2","14","0"
"rdfs.ttl","0","503","87","304","1"
"turtle-syntax-bad-struct-04.ttl","0","4","0","2","0"
"turtle-syntax-number-03.ttl","0","13","2","9","0"
"localName_with_leading_underscore.ttl","0","15","3","10","0"
"turtle-subm-10.ttl","0","32","4","21","0"
"turtle-subm-04.ttl","0","29","3","16","0"
"turtle-subm-05.ttl","0","25","3","15","0"
"ctag.ttl","0","274","86","186","0"
"turtle-subm-11.ttl","0","33","10","29","0"
"dcat.ttl","0","1204","471","790","9"
"turtle-syntax-number-02.ttl","0","13","2","9","0"
"turtle-syntax-bad-struct-05.ttl","0","12","2","8","0"
"turtle-syntax-bad-struct-11.ttl","0","14","1","9","0"
"calendar.ttl","0","1853","162","1241","0"
"turtle-syntax-bad-prefix-02.ttl","0","16","3","10","0"
"HYPHEN_MINUS_in_localName.ttl","0","15","3","10","0"
"turtle-syntax-uri-04.ttl","0","14","1","9","0"
"wsdl.ttl","0","962","131","624","5"
"turtle-syntax-bad-n3-extras-03.ttl","0","23","7","15","0"
"turtle-syntax-bad-esc-03.ttl","0","14","3","9","0"
